client,apar_id,apar_name,short_name,apar_gr_id,status,apar_once,main_apar_id,vat_reg_no,comp_reg_no,country_code,tax_code,tax_system,terms_id,pay_method,currency,pay_delay,credit_limit,credit_age,intrule_id,clearing_code,bank_account,iban,swift,collect_flag,invoice_code,expired_date,last_update,wf_state,_edge_case
HOL,CHOL0001,"Young, Thomas and Holt","Clarke, Pa",CHAR,N,0,,GB443080569,32533467,GB,Z0,UK_VAT,30NET,CHQ,GBP,0,92092.84,60,RULE1,,,,,0,STD,,2024-11-20,T,
HOL,CHOL0002,"Vaughan, Law and Thompson",Thomas-Har,CHAR,N,0,,GB375584366,24500158,GB,Z0,UK_VAT,30NET,BACS,GBP,0,80257.73,90,RULE2,,,,,0,STD,,2025-12-17,T,
HOL,CHOL0003,"Smith, Williams and Kirby","Leonard, B",SME,N,0,,GB506639535,57141449,GB,Z0,UK_VAT,COD,DD,GBP,0,166617.36,90,STD,97-38-30,70570772,,,0,STD,,2025-06-25,T,
HOL,CHOL0004,Cooke-O'Connor,"May, Robin",CHAR,N,0,,GB121558591,52777459,GB,S2,UK_VAT,30NET,BACS,GBP,0,71652.6,60,RULE1,,,,,0,PAPER,,2021-06-03,T,
HOL,CHOL0005,Marsh-Kerr,Morgan-War,CHAR,N,0,,GB737835435,92362000,GB,S2,UK_VAT,30NET,BACS,GBP,5,188776.24,30,STD,,,,,0,ELEC,,2021-11-18,T,
HOL,CHOL0006,"Khan, Smith and Hart",Naylor-Web,CORP,N,0,,GB455510103,37588517,GB,S1,UK_VAT,COD,BACS,GBP,10,145797.43,90,STD,,,,,0,ELEC,,2024-09-14,T,
HOL,CHOL0007,"Barton, Kirby and Miller",Patterson-,CHAR,N,0,,GB355065530,22873617,GB,S1,UK_VAT,COD,INT,GBP,10,112184.21,60,RULE1,,,GB16506149731032417146,MXGQGBNN,0,ELEC,,2023-01-27,T,
HOL,CHOL0008,Green-Walker,Young-Begu,SME,N,0,,GB147907058,45338986,GB,S2,UK_VAT,COD,CHQ,GBP,0,49117.24,60,STD,,,,,0,STD,,2021-11-06,T,
HOL,CHOL0009,Manning-Knight,Cooper Inc,CORP,N,0,,GB817411121,56142898,GB,Z0,UK_VAT,COD,BACS,GBP,10,49364.99,30,RULE2,,,,,0,PAPER,,2023-05-08,T,
HOL,CHOL0010,Wilson-Newton,Bryant Ltd,GOV,N,0,,GB611382735,50111251,GB,S1,UK_VAT,COD,DD,GBP,0,102909.79,90,STD,96-89-28,26143959,,,0,ELEC,,2021-12-21,T,
HOL,CHOL0011,James-Khan,Bell-Jones,GOV,N,0,,GB968078090,35867257,GB,S1,UK_VAT,30NET,CHQ,GBP,5,20281.86,90,RULE2,,,,,0,STD,,2025-08-12,T,
HOL,CHOL0012,Reed Group,Richards-H,CHAR,N,0,,GB443328397,18994192,GB,S1,UK_VAT,COD,CHQ,GBP,10,82484.22,60,RULE2,,,,,0,PAPER,,2023-07-28,T,
HOL,CHOL0013,Smith and Sons,"Singh, Jen",SME,N,0,,GB220816186,65625517,GB,S1,UK_VAT,60NET,BACS,GBP,10,119647.16,30,RULE1,,,,,0,PAPER,,2025-05-16,T,
HOL,CHOL0014,Smith-Blake,Burton PLC,CHAR,N,0,,GB675132064,56153339,GB,S2,UK_VAT,14NET,BACS,GBP,5,132683.6,90,STD,,,,,0,ELEC,,2021-03-18,T,
HOL,CHOL0015,Collins-Lee,Anderson-B,CHAR,N,0,,GB532689999,29307578,GB,Z0,UK_VAT,COD,CHQ,GBP,0,82179.59,60,STD,,,,,0,STD,,2021-04-11,T,
HOL,CHOL0016,"Allen, Edwards and Harris",Richards a,CHAR,N,0,,GB499905152,12715612,GB,S2,UK_VAT,14NET,DD,GBP,0,59667.6,60,STD,97-22-39,28036919,,,0,ELEC,,2025-03-04,T,
HOL,CHOL0017,"Fletcher, Adams and Cunningham",Townsend-C,CHAR,N,0,,GB389287503,65938288,GB,Z0,UK_VAT,30NET,DD,GBP,0,91134.74,60,STD,72-76-57,17543817,,,0,PAPER,,2025-06-09,T,
HOL,CHOL0018,"Fitzgerald, Buckley and Brown",Thomas-Coo,CORP,N,0,,GB434065879,78020910,GB,S2,UK_VAT,60NET,CHQ,GBP,10,176469.86,30,RULE1,,,,,0,STD,,2025-11-28,T,
HOL,CHOL0019,Smith-Brown,Ward Ltd,CORP,N,0,,GB367888133,14438720,GB,S2,UK_VAT,30NET,CHQ,GBP,0,142403.62,60,RULE2,,,,,0,ELEC,,2023-11-01,T,
HOL,CHOL0020,"Johnson, Vaughan and Newman",Browne-Par,CORP,N,0,,GB831405402,14102122,GB,S1,UK_VAT,14NET,DD,GBP,5,120838.5,30,RULE2,85-80-54,56204319,,,0,STD,,2025-09-12,T,
HOL,CHOL0021,Bradley-Jarvis,"Hall, Boot",CORP,N,0,,GB406090918,13684342,GB,S2,UK_VAT,30NET,INT,GBP,0,171495.16,30,RULE1,,,GB92334680072290349446,XWLFGBKS,0,PAPER,,2023-03-25,T,
HOL,CHOL0022,Collins Group,Harris Inc,CORP,N,0,,GB649233665,98899843,GB,S2,UK_VAT,14NET,BACS,GBP,0,138460.56,60,RULE1,,,,,0,ELEC,,2022-07-21,T,
HOL,CHOL0023,Young LLC,Lewis-Scot,CHAR,N,0,,GB380404354,98062882,GB,Z0,UK_VAT,14NET,INT,GBP,0,34236.21,30,RULE1,,,GB86652074466609935387,XRNVGB45,0,STD,,2022-08-25,T,
HOL,CHOL0024,"Jones, Sims and Willis",Evans-Port,SME,N,0,,GB237378973,44715663,GB,Z0,UK_VAT,60NET,BACS,GBP,0,132614.76,30,RULE2,,,,,0,STD,,2025-03-05,T,
HOL,CHOL0025,"Ross, Harvey and Chan",Reid-Lawre,SME,N,0,,GB946205663,54468633,GB,S2,UK_VAT,14NET,INT,GBP,10,62339.97,30,RULE2,,,GB16999173816846022356,ZXZDGB5G,0,STD,,2023-09-26,T,
HOL,CHOL0026,Cook-Birch,Stephenson,GOV,N,0,,GB436525794,95161010,GB,S1,UK_VAT,30NET,INT,GBP,5,58337.93,30,STD,,,GB30712966667600835058,ERQGGBYM,0,STD,,2021-07-30,T,
HOL,CHOL0027,Wood Inc,Foster-Ful,CHAR,N,0,,GB279336562,18762675,GB,S1,UK_VAT,14NET,DD,GBP,0,93905.63,90,STD,77-53-65,27956913,,,0,ELEC,,2026-01-21,T,
