client,apar_id,apar_name,short_name,apar_gr_id,status,apar_once,main_apar_id,vat_reg_no,comp_reg_no,country_code,tax_code,tax_system,terms_id,pay_method,currency,pay_delay,credit_limit,credit_age,intrule_id,clearing_code,bank_account,iban,swift,collect_flag,invoice_code,expired_date,last_update,wf_state,_edge_case
HOC,CHOC0001,"Griffiths, Cox and Smith",Newman Ltd,CORP,N,0,,GB896233790,46913810,GB,S1,UK_VAT,60NET,BACS,GBP,0,148611.89,90,STD,,,,,0,PAPER,,2021-06-28,T,
HOC,CHOC0002,"Norman, Hopkins and Oliver",Green and ,CORP,N,0,,GB131994523,22575562,GB,S1,UK_VAT,60NET,DD,GBP,10,122393.65,90,RULE1,93-99-79,66306997,,,0,STD,,2023-07-09,T,
HOC,CHOC0003,"Foster, Moore and Edwards","Kaur, Quin",CORP,N,0,,GB914763202,31429110,GB,Z0,UK_VAT,COD,INT,GBP,0,59184.91,30,RULE2,,,GB23161559407816184959,EBRUGB94,0,STD,,2023-02-18,T,
HOC,CHOC0004,Reed and Sons,"Oliver, Wh",SME,N,0,,GB782560971,58966946,GB,S1,UK_VAT,14NET,INT,GBP,0,45853.87,60,STD,,,GB97192832764835030564,BXOSGBHR,0,PAPER,,2023-07-29,T,
HOC,CHOC0005,Warner-Palmer,Baker-Butl,CHAR,N,0,,GB249926919,43101783,GB,Z0,UK_VAT,14NET,CHQ,GBP,10,88544.6,90,RULE2,,,,,0,ELEC,,2022-03-26,T,
HOC,CHOC0006,Elliott PLC,Simpson Gr,SME,N,0,,GB197613238,16323852,GB,S1,UK_VAT,60NET,CHQ,GBP,0,159455.48,60,STD,,,,,0,STD,,2023-02-28,T,
HOC,CHOC0007,Fisher Ltd,"Young, Eva",SME,N,0,,GB668132202,43744231,GB,Z0,UK_VAT,30NET,DD,GBP,0,137933.52,90,RULE2,92-53-24,49392920,,,0,ELEC,,2021-11-20,T,
HOC,CHOC0008,Thomas and Sons,Robinson-D,CORP,N,0,,GB875340444,45351479,GB,Z0,UK_VAT,60NET,DD,GBP,10,182962.43,90,RULE2,91-74-87,36697396,,,0,STD,,2023-02-05,T,
HOC,CHOC0009,Palmer Group,"Lee, Marsd",CORP,N,0,,GB743111853,53507489,GB,S2,UK_VAT,30NET,CHQ,GBP,0,186174.23,60,RULE1,,,,,0,STD,,2022-05-09,T,
HOC,CHOC0010,"Phillips, Cross and Miah","Thomson, W",CORP,N,0,,GB885879795,75228535,GB,S1,UK_VAT,60NET,BACS,GBP,0,133651.41,90,RULE1,,,,,0,ELEC,,2023-12-17,T,
HOC,CHOC0011,Lamb-Scott,"Holmes, Ll",GOV,N,0,,GB679064766,36998038,GB,Z0,UK_VAT,14NET,DD,GBP,5,199054.12,90,RULE2,66-76-67,26240908,,,0,STD,,2022-04-06,T,
HOC,CHOC0012,Wilson Inc,Alexander-,CHAR,N,0,,GB122585366,88961459,GB,Z0,UK_VAT,60NET,BACS,GBP,10,47942.39,30,STD,,,,,0,PAPER,,2021-05-01,T,
HOC,CHOC0013,"Hawkins, McLean and Lynch",Young-Grah,CORP,N,0,,GB133729406,54349361,GB,S1,UK_VAT,60NET,CHQ,GBP,0,135450.67,30,STD,,,,,0,STD,,2025-01-21,T,
HOC,CHOC0014,Pritchard and Sons,"Moore, Smi",GOV,N,0,,GB942478695,73481353,GB,S2,UK_VAT,60NET,DD,GBP,0,23901.51,60,RULE2,64-62-69,17270733,,,0,PAPER,,2024-08-31,T,
HOC,CHOC0015,"Matthews, Lloyd and Turner","Hughes, Da",CORP,N,0,,GB532311310,55540424,GB,S1,UK_VAT,60NET,BACS,GBP,0,42090.74,60,RULE1,,,,,0,ELEC,,2022-01-11,T,
HOC,CHOC0016,Johnson Ltd,Anderson-C,SME,N,0,,GB368227631,20117988,GB,S2,UK_VAT,30NET,INT,GBP,0,132168.25,90,RULE1,,,GB21326773602606474687,EHZPGBT0,0,STD,,2021-04-13,T,
HOC,CHOC0017,"Turner, Hill and Coates",Davies Inc,GOV,N,0,,GB161073976,78159587,GB,S1,UK_VAT,60NET,DD,GBP,0,121031.85,90,RULE1,61-25-82,43046464,,,0,PAPER,,2024-05-02,T,
HOC,CHOC0018,"Young, Myers and Read",Griffiths-,CORP,N,0,,GB550139320,98231132,GB,Z0,UK_VAT,14NET,BACS,GBP,0,44830.54,90,RULE2,,,,,0,STD,,2022-06-28,T,
HOC,CHOC0019,Harper-Atkinson,"Smith, Kni",GOV,N,0,,GB821221887,96637649,GB,S2,UK_VAT,COD,DD,GBP,0,186158.57,30,RULE1,68-89-82,23419256,,,0,STD,,2024-01-07,T,
HOC,CHOC0020,Taylor LLC,"Buckley, R",CHAR,N,0,,GB242224154,56843172,GB,S1,UK_VAT,60NET,CHQ,GBP,0,60572.54,60,STD,,,,,0,PAPER,,2022-09-12,T,
HOC,CHOC0021,Powell PLC,Anderson G,CHAR,N,0,,GB812308209,23903144,GB,S1,UK_VAT,14NET,BACS,GBP,0,178493.98,90,STD,,,,,0,STD,,2022-07-12,T,
HOC,CHOC0022,Griffiths LLC,Smith-Smit,GOV,N,0,,GB870530217,56020613,GB,S1,UK_VAT,14NET,INT,GBP,10,100263.71,30,RULE1,,,GB91640052427868011280,VPDDGBL6,0,STD,,2026-01-15,T,
HOC,CHOC0023,"May, Cunningham and Jones",Stewart PL,GOV,N,0,,GB832363533,43491314,GB,Z0,UK_VAT,30NET,INT,GBP,0,157122.67,60,STD,,,GB29322602563421607337,JVWFGBXO,0,ELEC,,2025-11-06,T,
HOC,CHOC0024,Clarke Group,"O'Brien, H",CHAR,N,0,,GB477040284,96098221,GB,Z0,UK_VAT,COD,BACS,GBP,10,69574.22,30,RULE1,,,,,0,ELEC,,2022-01-01,T,
HOC,CHOC0025,Murray Ltd,"Lawson, We",CORP,N,0,,GB216396351,90070438,GB,S2,UK_VAT,14NET,INT,GBP,0,90096.81,90,RULE1,,,GB59934060883561595148,IKKHGBEP,0,ELEC,,2024-10-19,T,
HOC,CHOC0026,"Patel, Lyons and Price",Wilson LLC,CHAR,N,0,,GB536019893,83542887,GB,S1,UK_VAT,14NET,CHQ,GBP,0,45985.62,90,STD,,,,,0,PAPER,,2022-10-22,T,
