client,apar_id,apar_name,short_name,apar_gr_id,status,apar_once,main_apar_id,vat_reg_no,comp_reg_no,country_code,tax_code,tax_system,terms_id,pay_method,currency,pay_delay,credit_limit,credit_age,intrule_id,clearing_code,bank_account,iban,swift,collect_flag,invoice_code,expired_date,last_update,wf_state,_edge_case
HOL,CHOL0001,"Young, Thomas and Holt","Clarke, Pa",CORP,N,0,,GB632774653,28876833,GB,S2,UK_VAT,30NET,CHQ,GBP,0,72627.97,60,RULE1,,,,,0,PAPER,,2025-12-19,T,
HOL,CHOL0002,"Vaughan, Law and Thompson",Thomas-Har,CHAR,N,0,,GB579565240,11529494,GB,S2,UK_VAT,60NET,BACS,GBP,0,140169.33,60,RULE2,,,,,0,STD,,2025-01-15,T,
HOL,CHOL0003,"Smith, Williams and Kirby","Leonard, B",CORP,N,0,,GB514396801,68816911,GB,Z0,UK_VAT,COD,BACS,GBP,0,177487.64,60,RULE2,,,,,0,ELEC,,2024-01-24,T,
HOL,CHOL0004,Cooke-O'Connor,"May, Robin",CORP,N,0,,GB989924715,74355957,GB,Z0,UK_VAT,60NET,DD,GBP,0,93001.05,30,RULE2,12-50-43,24055958,,,0,STD,,2022-12-02,T,
HOL,CHOL0005,Marsh-Kerr,Morgan-War,SME,N,0,,GB272769884,20066654,GB,Z0,UK_VAT,30NET,CHQ,GBP,0,120835.96,90,RULE2,,,,,0,PAPER,,2021-03-05,T,
HOL,CHOL0006,"Khan, Smith and Hart",Naylor-Web,GOV,N,0,,GB752102334,68277389,GB,S1,UK_VAT,30NET,DD,GBP,0,69563.44,30,RULE2,99-80-79,45603234,,,0,PAPER,,2022-07-31,T,
HOL,CHOL0007,"Barton, Kirby and Miller",Patterson-,GOV,N,0,,GB202988942,16661956,GB,S2,UK_VAT,COD,INT,GBP,0,15628.45,30,RULE2,,,GB21497310324171467741,QKJJGBGB,0,ELEC,,2023-08-11,T,
HOL,CHOL0008,Green-Walker,Young-Begu,GOV,N,0,,GB998806471,46045780,GB,Z0,UK_VAT,30NET,INT,GBP,0,151685.85,90,RULE1,,,GB20586938068687937416,XSNXGB2Y,0,PAPER,,2021-10-29,T,
HOL,CHOL0009,Manning-Knight,Cooper Inc,SME,N,0,,GB285627380,32436477,GB,S1,UK_VAT,60NET,BACS,GBP,0,13321.8,30,STD,,,,,0,ELEC,,2022-02-18,T,
HOL,CHOL0010,Wilson-Newton,Bryant Ltd,CHAR,N,0,,GB443328397,18994192,GB,S1,UK_VAT,COD,CHQ,GBP,10,82484.22,60,RULE2,,,,,0,PAPER,,2023-07-28,T,
HOL,CHOL0011,James-Khan,Bell-Jones,SME,N,0,,GB220816186,65625517,GB,S1,UK_VAT,60NET,BACS,GBP,10,119647.16,30,RULE1,,,,,0,PAPER,,2025-05-16,T,
HOL,CHOL0012,Reed Group,Richards-H,CHAR,N,0,,GB675132064,56153339,GB,S2,UK_VAT,14NET,BACS,GBP,5,132683.6,90,STD,,,,,0,ELEC,,2021-03-18,T,
HOL,CHOL0013,Smith and Sons,"Singh, Jen",CHAR,N,0,,GB532689999,29307578,GB,Z0,UK_VAT,COD,CHQ,GBP,0,82179.59,60,STD,,,,,0,STD,,2021-04-11,T,
HOL,CHOL0014,Smith-Blake,Burton PLC,CHAR,N,0,,GB499905152,12715612,GB,S2,UK_VAT,14NET,DD,GBP,0,59667.6,60,STD,97-22-39,28036919,,,0,ELEC,,2025-03-04,T,
HOL,CHOL0015,Collins-Lee,Anderson-B,CHAR,N,0,,GB389287503,65938288,GB,Z0,UK_VAT,30NET,DD,GBP,0,91134.74,60,STD,72-76-57,17543817,,,0,PAPER,,2025-06-09,T,
HOL,CHOL0016,"Allen, Edwards and Harris",Richards a,CORP,N,0,,GB434065879,78020910,GB,S2,UK_VAT,60NET,CHQ,GBP,10,176469.86,30,RULE1,,,,,0,STD,,2025-11-28,T,
HOL,CHOL0017,"Fletcher, Adams and Cunningham",Townsend-C,CORP,N,0,,GB367888133,14438720,GB,S2,UK_VAT,30NET,CHQ,GBP,0,142403.62,60,RULE2,,,,,0,ELEC,,2023-11-01,T,
HOL,CHOL0018,"Fitzgerald, Buckley and Brown",Thomas-Coo,CORP,N,0,,GB831405402,14102122,GB,S1,UK_VAT,14NET,DD,GBP,5,120838.5,30,RULE2,85-80-54,56204319,,,0,STD,,2025-09-12,T,
HOL,CHOL0019,Smith-Brown,Ward Ltd,CORP,N,0,,GB406090918,13684342,GB,S2,UK_VAT,30NET,INT,GBP,0,171495.16,30,RULE1,,,GB92334680072290349446,XWLFGBKS,0,PAPER,,2023-03-25,T,
HOL,CHOL0020,"Johnson, Vaughan and Newman",Browne-Par,CORP,N,0,,GB649233665,98899843,GB,S2,UK_VAT,14NET,BACS,GBP,0,138460.56,60,RULE1,,,,,0,ELEC,,2022-07-21,T,
HOL,CHOL0021,Bradley-Jarvis,"Hall, Boot",CHAR,N,0,,GB380404354,98062882,GB,Z0,UK_VAT,14NET,INT,GBP,0,34236.21,30,RULE1,,,GB86652074466609935387,XRNVGB45,0,STD,,2022-08-25,T,
HOL,CHOL0022,Collins Group,Harris Inc,SME,N,0,,GB237378973,44715663,GB,Z0,UK_VAT,60NET,BACS,GBP,0,132614.76,30,RULE2,,,,,0,STD,,2025-03-05,T,
HOL,CHOL0023,Young LLC,Lewis-Scot,SME,N,0,,GB946205663,54468633,GB,S2,UK_VAT,14NET,INT,GBP,10,62339.97,30,RULE2,,,GB16999173816846022356,ZXZDGB5G,0,STD,,2023-09-26,T,
HOL,CHOL0024,"Jones, Sims and Willis",Evans-Port,GOV,N,0,,GB436525794,95161010,GB,S1,UK_VAT,30NET,INT,GBP,5,58337.93,30,STD,,,GB30712966667600835058,ERQGGBYM,0,STD,,2021-07-30,T,
HOL,CHOL0025,"Ross, Harvey and Chan",Reid-Lawre,CHAR,N,0,,GB279336562,18762675,GB,S1,UK_VAT,14NET,DD,GBP,0,93905.63,90,STD,77-53-65,27956913,,,0,ELEC,,2026-01-21,T,
HOL,CHOL0026,Cook-Birch,Stephenson,CHAR,N,0,,GB905430477,35290114,GB,S1,UK_VAT,COD,DD,GBP,0,49541.57,90,RULE1,37-12-85,77730769,,,0,STD,,2021-09-10,T,
HOL,CHOL0027,Wood Inc,Foster-Ful,CORP,N,0,,GB502859804,95942441,GB,S2,UK_VAT,30NET,INT,GBP,10,198962.65,90,RULE1,,,GB93001676184723046184,QSKXGBSW,0,ELEC,,2021-08-22,T,
HOL,CHOL0028,"Harris, Webb and Mills",Rogers-Fos,SME,N,0,,GB313295228,91738839,GB,S1,UK_VAT,14NET,BACS,GBP,10,194758.35,60,STD,,,,,0,ELEC,,2022-08-28,T,
HOL,CHOL0029,Thompson-Williams,Thomas-Tay,CORP,N,0,,GB688559516,76619601,GB,S1,UK_VAT,COD,CHQ,GBP,0,50728.53,30,STD,,,,,0,STD,,2026-02-01,T,
HOL,CHOL0030,Richards-Williams,"Robinson, ",SME,N,0,,GB260142678,22090691,GB,Z0,UK_VAT,30NET,BACS,GBP,0,181431.98,90,RULE1,,,,,0,ELEC,,2022-08-30,T,
HOL,CHOL0031,"Stevenson, Lewis and Banks",Watson and,SME,N,0,,GB153773200,23396125,GB,S1,UK_VAT,30NET,INT,GBP,0,75241.86,90,RULE2,,,GB64110022557941552166,ZHKWGB2X,0,STD,,2021-08-20,T,
HOL,CHOL0032,"Davies, Williams and Clarke",Marsh LLC,CORP,N,0,,GB271149511,23920137,GB,S2,UK_VAT,COD,CHQ,GBP,10,137286.66,30,STD,,,,,0,ELEC,,2025-05-15,T,
HOL,CHOL0033,Cooper-Swift,"Dyer, Powe",CORP,N,0,,GB834937767,27536261,GB,S2,UK_VAT,COD,INT,GBP,0,178080.82,60,RULE1,,,GB18450899358891637562,VOZBGBXF,0,ELEC,,2025-10-11,T,
HOL,CHOL0034,Miller-Allen,"Owen, McLe",GOV,N,0,,GB180385942,75987872,GB,S2,UK_VAT,60NET,DD,GBP,0,194178.28,30,STD,38-80-92,60819877,,,0,ELEC,,2025-08-01,T,
HOL,CHOL0035,Payne and Sons,Weston-Joh,CORP,N,0,,GB592949064,69618021,GB,Z0,UK_VAT,COD,CHQ,GBP,0,172034.9,60,RULE2,,,,,0,STD,,2023-10-16,T,
HOL,CHOL0036,Smith LLC,"Williams, ",CORP,N,0,,GB533190034,65343143,GB,S1,UK_VAT,30NET,BACS,GBP,0,159397.74,90,STD,,,,,0,ELEC,,2025-12-28,T,
HOL,CHOL0037,Thorpe-Kirk,Price Ltd,SME,N,0,,GB465989408,58767001,GB,S1,UK_VAT,60NET,CHQ,GBP,5,69734.66,90,STD,,,,,0,ELEC,,2025-01-07,T,
HOL,CHOL0038,Turner-Barker,King-Ellis,SME,N,0,,GB222431652,23077775,GB,Z0,UK_VAT,60NET,INT,GBP,0,71564.64,90,RULE2,,,GB80851027261493316373,SCKYGB4V,0,ELEC,,2023-07-26,T,
HOL,CHOL0039,"Freeman, Ball and Barton","Ellis, Har",SME,N,0,,GB104657489,81184297,GB,Z0,UK_VAT,30NET,CHQ,GBP,10,187385.11,90,RULE2,,,,,0,PAPER,,2025-05-19,T,
HOL,CHOL0040,Bond-O'Neill,James and ,GOV,N,0,,GB884362665,27231111,GB,S1,UK_VAT,COD,CHQ,GBP,10,123201.35,60,STD,,,,,0,ELEC,,2023-05-08,T,
HOL,CHOL0041,Payne-Naylor,Jones-Robi,CHAR,N,0,,GB527209652,56017729,GB,S2,UK_VAT,COD,CHQ,GBP,0,31945.1,90,STD,,,,,0,PAPER,,2023-11-16,T,
HOL,CHOL0042,Blackburn Inc,Gordon Ltd,CHAR,N,0,,GB864369269,84300459,GB,Z0,UK_VAT,60NET,INT,GBP,0,45893.98,90,RULE2,,,GB97522885158799684608,CJBBGBJ2,0,ELEC,,2024-10-31,T,
HOL,CHOL0043,"Jones, Ali and Bolton","Ford, Page",GOV,N,0,,GB166607238,49613096,GB,S1,UK_VAT,30NET,INT,GBP,0,163735.11,30,STD,,,GB96838638406665800439,WWLFGBWZ,0,ELEC,,2025-03-27,T,
HOL,CHOL0044,Hall-Weston,Shaw PLC,GOV,N,0,,GB415870923,70238919,GB,S1,UK_VAT,30NET,CHQ,GBP,0,192682.67,90,STD,,,,,0,STD,,2023-02-12,T,
HOL,CHOL0045,"Fox, Read and Clarke","Walker, Ha",SME,N,0,,GB399694490,84705402,GB,S2,UK_VAT,60NET,BACS,GBP,0,118877.28,60,RULE1,,,,,0,ELEC,,2023-08-14,T,
HOL,CHOL0046,Rogers and Sons,Hudson-Wil,CORP,N,0,,GB265037749,53302669,GB,Z0,UK_VAT,30NET,CHQ,GBP,10,169412.3,60,RULE2,,,,,0,PAPER,,2024-02-01,T,
HOL,CHOL0047,"Bowen, Baker and Smith","Andrews, R",CORP,N,0,,GB941847352,52662313,GB,Z0,UK_VAT,60NET,INT,GBP,0,106518.23,90,RULE1,,,GB63886153355543987801,RLXPGBW8,0,PAPER,,2025-12-19,T,
HOL,CHOL0048,"Ashton, Kerr and Thompson","Nash, Slat",SME,N,0,,GB954920307,25216804,GB,S2,UK_VAT,14NET,INT,GBP,10,146175.24,30,STD,,,GB57887704358112880133,WLCNGBZ9,0,ELEC,,2024-08-17,T,
HOL,CHOL0049,"Haynes, Bennett and Thomas",Francis Lt,GOV,N,0,,GB125504528,71636167,GB,Z0,UK_VAT,14NET,BACS,GBP,0,22066.58,30,RULE1,,,,,0,ELEC,,2024-02-17,T,
HOL,CHOL0050,"Pritchard, Kelly and Allen","Dawson, St",GOV,N,0,,GB377721135,64711545,GB,S2,UK_VAT,COD,BACS,GBP,5,89439.88,30,RULE2,,,,,0,PAPER,,2021-08-31,T,
HOL,CHOL0051,Graham-Atkins,Nelson Ltd,CORP,N,0,,GB911706504,88598977,GB,S1,UK_VAT,30NET,BACS,GBP,0,185969.31,30,RULE2,,,,,0,PAPER,,2022-09-10,T,
HOL,CHOL0052,Jordan-Ford,Steele Gro,CHAR,N,0,,GB921706952,68743898,GB,S2,UK_VAT,COD,BACS,GBP,0,97427.6,90,RULE1,,,,,0,STD,,2025-03-10,T,
HOL,CHOL0053,Hall-Cook,Webster Lt,CHAR,N,0,,GB780801356,29337491,GB,S2,UK_VAT,14NET,DD,GBP,0,112937.22,90,RULE1,25-15-10,86868988,,,0,PAPER,,2023-03-19,T,
HOL,CHOL0054,Hunter-Taylor,Clarke-Mid,CHAR,N,0,,GB325542573,56150987,GB,S1,UK_VAT,COD,BACS,GBP,10,32778.75,30,RULE1,,,,,0,PAPER,,2025-09-06,T,
HOL,CHOL0055,"Whitehouse, Smith and Blake",Smith-Glov,GOV,N,0,,GB223075021,34341456,GB,Z0,UK_VAT,30NET,INT,GBP,10,94946.71,90,RULE1,,,GB47141397552314913577,IRSDGBU3,0,ELEC,,2021-12-12,T,
HOL,CHOL0056,Harding-Taylor,Smith-Tayl,CHAR,N,0,,GB364328543,39732676,GB,Z0,UK_VAT,COD,BACS,GBP,0,168821.46,30,STD,,,,,0,PAPER,,2022-11-11,T,
HOL,CHOL0057,Bradley PLC,"Webster, M",SME,N,0,,GB578199481,58149482,GB,S2,UK_VAT,COD,DD,GBP,10,26222.36,90,STD,20-45-27,82292089,,,0,STD,,2022-06-24,T,
HOL,CHOL0058,"Jones, Shaw and Stephenson",Harding PL,CORP,N,0,,GB120004122,78072320,GB,Z0,UK_VAT,30NET,BACS,GBP,10,117885.65,90,RULE1,,,,,0,STD,,2024-02-04,T,
HOL,CHOL0059,Morgan-Stevens,Parker-Whi,SME,N,0,,GB802128517,29949181,GB,S2,UK_VAT,COD,INT,GBP,0,178830.32,90,STD,,,GB47278816580392827229,YRZTGBRM,0,STD,,2025-04-09,T,
HOL,CHOL0060,"Young, Lambert and Jones","Bailey, De",GOV,N,0,,GB167496657,45481411,GB,S2,UK_VAT,60NET,DD,GBP,0,135374.19,90,RULE2,59-70-68,16232730,,,0,STD,,2024-08-21,T,
HOL,CHOL0061,Wood-Miller,Thomas-Ben,CORP,N,0,,,79977486,GB,Z0,UK_VAT,14NET,INT,GBP,0,117833.13,90,RULE1,,,GB58659184638655779082,LFNHGBFF,0,PAPER,,2025-01-09,T,CUST_VAT_MISSING
HOL,CHOL0062,"Chamberlain, Fisher and Ford","Price, Wal",GOV,N,0,,GB545188049,,GB,Z0,UK_VAT,30NET,BACS,GBP,5,136669.74,60,RULE1,,,,,0,PAPER,,2021-11-27,T,CUST_COMP_REG_MISSING
