client,apar_id,apar_name,short_name,apar_gr_id,status,apar_once,vat_reg_no,comp_reg_no,country_code,tax_code,tax_system,terms_id,pay_method,currency,pay_delay,clearing_code,bank_account,iban,swift,expired_date,last_update,wf_state
HOL,SUP0001,"Griffiths, Cox and Smith",Newman Ltd,UTIL,N,N,GB826600539,83197857,GB,EX,UKVAT,,BACS,GBP,0,13-21-37,41227216,,,,2026-01-06,W
HOL,SUP0002,"Norman, Hopkins and Oliver",Green and ,UTIL,C,N,GB106977991,31429110,US,Z0,UKVAT,14DAYS,INT,GBP,5,29-37-53,23718431,,,,2025-10-26,T
HOL,SUP0003,"Foster, Moore and Edwards","Kaur, Quin",GEN,T,Y,GB506448196,,GB,EX,UKVAT,14DAYS,INT,EUR,0,,,GB15TEST98753260,MIDLGB39,,2025-11-13,T
HOL,SUP0004,Reed and Sons,"Oliver, Wh",CONS,T,N,GB481469012,45833156,US,EX,UKVAT,30DAYS,CHAPS,EUR,0,,,GB30TEST72043515,MIDLGB58,,2024-04-18,W
HOC,SUP0005,Warner-Palmer,Baker-Butl,UTIL,N,N,GB171069472,86125617,US,Z0,UKVAT,60DAYS,BACS,GBP,10,60-92-68,29175900,,,,2025-05-26,W
HOL,SUP0006,Elliott PLC,Simpson Gr,PROP,C,N,GB248532577,22201654,GB,S20,UKVAT,60DAYS,INT,GBP,0,97-64-86,18526544,,,,2024-06-02,T
HOC,SUP0007,Fisher Ltd,"Young, Eva",GEN,T,N,GB465260635,,DE,S20,UKVAT,,INT,GBP,0,43-74-32,78139880,,,2024-05-03,2025-04-03,W
HOL,SUP0008,Thomas and Sons,Robinson-D,UTIL,P,N,GB624636385,,GB,Z0,UKVAT,60DAYS,BACS,GBP,0,40-82-20,21496211,,,,2025-11-24,W
HOL,SUP0009,Palmer Group,"Lee, Marsd",PROP,N,N,GB751325257,38427073,FR,EX,UKVAT,60DAYS,BACS,USD,10,,,GB95TEST97225156,MIDLGB57,,2024-08-22,T
HOC,SUP0010,"Phillips, Cross and Miah","Thomson, W",IT,N,N,GB107721109,,US,S20,UKVAT,60DAYS,BACS,GBP,0,14-52-19,79008866,,,,2024-03-19,T
HOL,SUP0011,Lamb-Scott,"Holmes, Ll",UTIL,C,Y,GB204078666,57553014,DE,Z0,UKVAT,,BACS,GBP,0,96-93-92,23209423,,,,2025-02-20,
HOL,SUP0012,Wilson Inc,Alexander-,UTIL,C,N,GB368227631,20117988,DE,EX,UKVAT,30DAYS,BACS,GBP,0,93-79-11,22517517,,,2025-06-05,2025-08-16,T
HOL,SUP0013,"Hawkins, McLean and Lynch",Young-Grah,GEN,N,Y,,71070189,GB,Z0,UKVAT,,BACS,GBP,0,34-47-37,17849494,,,,2024-07-27,
HOC,SUP0014,Pritchard and Sons,"Moore, Smi",PROP,C,N,,34941004,GB,EX,UKVAT,30DAYS,BACS,GBP,0,61-25-82,43046464,,,,2025-12-24,W
